#
# Feature name:          irq-time-acct
#         Kconfig:       HAVE_IRQ_TIME_ACCOUNTING
#         description:   arch supports precise IRQ time accounting
#
    -----------------------
    |         arch |status|
    -----------------------
    |       alpha: |  ..  |
    |         arc: | TODO |
    |         arm: |  ok  |
    |       arm64: |  ok  |
    |         c6x: | TODO |
    |        csky: | TODO |
    |       h8300: | TODO |
    |     hexagon: | TODO |
    |        ia64: |  ..  |
    |        m68k: | TODO |
    |  microblaze: | TODO |
    |        mips: |  ok  |
    |       nds32: | TODO |
    |       nios2: | TODO |
    |    openrisc: | TODO |
    |      parisc: |  ..  |
    |     powerpc: |  ok  |
    |       riscv: | TODO |
    |        s390: |  ..  |
    |          sh: | TODO |
    |       sparc: |  ..  |
    |          um: | TODO |
    |   unicore32: | TODO |
    |         x86: |  ok  |
    |      xtensa: |  ok  |
    -----------------------
